Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,domestica
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,emiliae
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,glirina
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,iheringi
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,kunsi
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,maraxina
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,osgoodi
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,palliolata
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,rubida
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,scalops
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,sorex
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,theresa
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,umbristriata
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,unistriata
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Philander,,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Philander,,andersoni
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Philander,,frenatus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Philander,,mcilhennyi
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Philander,,opossum
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Philander,,opossum
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Philander,,opossum
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Philander,,opossum
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Philander,,opossum
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Thylamys,,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Thylamys,,cinderella
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Thylamys,,elegans
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Thylamys,,karimii
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Thylamys,,macrurus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Thylamys,,pallidior
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Thylamys,,pusillus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Thylamys,,sponsorius
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Thylamys,,tatei
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Thylamys,,velutinus
