occurrence.genus_name,occurrence.species_name
Gazella,sp.
Antilope,mesopotamica
Equus,hemionus
Sus,gadarensis
Hippopotamus,amphibius
Cervus,elaphus
Capreolus,capreolus
Myotis,baranensis
Crocidura,samaritana
Crocidura,katinka
Erinaceus,sharonis
Hyaena,crocuta
Hyaena,prisca
Canis,lupaster
Vulpes,vinetorum
Vulpes,vulpes
Ursus,mediterraneus
Panthera,pardus
Hystrix,sp.
Myomimus,roachi
Ellobius,pedorychus
Microtus,guentheri
Microtus,machintoni
Capra,sp.
Bos,sp.
Equus,hydruntinus
Procavia,syriaca
Kampholophos,serrulus
Kharthlidelphis,diceros
Paurodon,valens
Archaeotrigon,brevimaxillus
Dryolestes,priscus
Tathiodon,agilis
Laolestes,eminens
Amblotherium,gracilis
Amblotherium,gracilis
Dryolestes,priscus
Laolestes,oweni
Euthlastus,cordiformis
Amblotherium,sp.
Tathiodon,agilis
Docodon,victor
Docodon,striatus
Docodon,crassus
Ctenacodon,serratus
Ctenacodon,serratus
Psalodon,potens
Ctenacodon,laticeps
Psalodon,fortis
Dryolestes,priscus
Amblotherium,gracilis
Dryolestes,vorax
Docodon,affinis
Priacodon,ferox
Dryolestes,priscus
Trioracodon,bisulcus
Comotherium,richi
Priacodon,robustus
Comodon,gidleyi
Aploconodon,comoensis
Priacodon,lulli
Priacodon,grandaevus
Ctenacodon,scindens
Psalodon,marshi
Amphidon,superstes
Archaeotrigon,sp.
Dryolestes,priscus
Laolestes,sp.
Dryolestes,priscus
Laolestes,goodrichi
Laolestes,oweni
Docodon,superus
Necrolemur,zitteli
Pseudoloris,parvulus
Cebochoerus,helveticus
Dacrytherium,elegans
Robiacina,minuta
Leptotheridium,traguloides
Xiphodon,castrense
Dichodon,sp.
Haplomeryx,picteti
Pseudamphimeryx,pavloviae
Anchomomys,quercyi
Necrolemur,antiquus
Amphiperatherium,bourdellense
Amphiperatherium,minutum
Amphiperatherium,fontense
Peratherium,bretouense
Peratherium,lavergnense
Prototomus,minor
Cynohyaenodon,magnus
Quercygale,angustidens
Simamphicyon,helveticus
Saturninia,beata
Saturninia,mamertensis
Vespertiliavus,gracilis
Vespertiliavus,schlosseri
Palaeophyllophora,quercyi
Hipposideros,schlosseri
Hipposideros,trassounius
Saturninia,sp.
Saturninia,beata
Hipposideros,schlosseri
Plesiarctomys,huerzeleri
Suevosciurus,romani
Sciuroides,sp.
Remys,minimus
Remys,sp.
Mouillacitherium,elegans
Cebochoerus,campichii
Dacrytherium,elegans
Catodontherium,robiacense
Tapirulus,schlosseri
Robiatherium,cournovense
Dichodon,vidalenci
Pseudamphimeryx,renevieri
Lophiodon,sp.
