Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,Subspecies
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,robinsoni,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,robinsoni,robinsoni
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,robinsoni,chapmani
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,robinsoni,fulviventer
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,robinsoni,grenadae
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,robinsoni,isthmica
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,robinsoni,luridavolta
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,robinsoni,ruatanica
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,robinsoni,simonsi
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,rubra,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,tyleriana,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosa,,xerophila,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,bishopi,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,cracens,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,dorothea,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,fuscatus,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,fuscatus,fuscatus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,fuscatus,carri
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,fuscatus,perfuscus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,handleyi,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,impavidus,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,incanus,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,invictus,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,juninensis,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,neblina,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,noctivagus,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,parvidens,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,paulensis,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Marmosops,,pinheiroi,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Metachirus,,,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Metachirus,,nudicaudatus,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Metachirus,,nudicaudatus,nudicaudatus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Metachirus,,nudicaudatus,colombianus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Metachirus,,nudicaudatus,modestus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Metachirus,,nudicaudatus,myosuros
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Metachirus,,nudicaudatus,tschudii
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Micoureus,,,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Micoureus,,alstoni,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Micoureus,,constantiae,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Micoureus,,demerarae,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Micoureus,,demerarae,demerarae
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Micoureus,,demerarae,areniticola
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Micoureus,,demerarae,dominus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Micoureus,,demerarae,esmeraldae
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Micoureus,,demerarae,meridae
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Micoureus,,paraguayanus,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Micoureus,,paraguayanus,paraguayanus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Micoureus,,paraguayanus,travassosi
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Micoureus,,phaeus,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Micoureus,,regina,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Micoureus,,regina,regina
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Micoureus,,regina,germana
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Micoureus,,regina,rapposa
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,adusta,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,americana,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,brevicaudata,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,dimidiata,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,domestica,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,emiliae,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,glirina,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,iheringi,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,kunsi,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,maraxina,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,osgoodi,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,palliolata,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,rubida,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,scalops,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,sorex,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,theresa,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,umbristriata,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Monodelphis,,unistriata,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Philander,,,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Philander,,andersoni,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Philander,,frenatus,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Philander,,mcilhennyi,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Philander,,opossum,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Philander,,opossum,opossum
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Philander,,opossum,canus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Philander,,opossum,fuscogriseus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Philander,,opossum,melanurus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Thylamys,,,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Thylamys,,cinderella,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Thylamys,,elegans,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Thylamys,,karimii,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Thylamys,,macrurus,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Thylamys,,pallidior,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Thylamys,,pusillus,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Thylamys,,sponsorius,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Thylamys,,tatei,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Thylamys,,velutinus,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Thylamys,,venustus,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Tlacuatzin,,,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Tlacuatzin,,canescens,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Tlacuatzin,,canescens,canescens
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Tlacuatzin,,canescens,gaumeri
PAUCITUBERCULATA,,,,,,,,,,
PAUCITUBERCULATA,,,,Caenolestidae,,,,,,
PAUCITUBERCULATA,,,,Caenolestidae,,,Caenolestes,,,
PAUCITUBERCULATA,,,,Caenolestidae,,,Caenolestes,,caniventer,
PAUCITUBERCULATA,,,,Caenolestidae,,,Caenolestes,,condorensis,
PAUCITUBERCULATA,,,,Caenolestidae,,,Caenolestes,,convelatus,
PAUCITUBERCULATA,,,,Caenolestidae,,,Caenolestes,,convelatus,convelatus
PAUCITUBERCULATA,,,,Caenolestidae,,,Caenolestes,,convelatus,barbarensis
PAUCITUBERCULATA,,,,Caenolestidae,,,Caenolestes,,fuliginosus,
PAUCITUBERCULATA,,,,Caenolestidae,,,Caenolestes,,fuliginosus,fuliginosus
PAUCITUBERCULATA,,,,Caenolestidae,,,Caenolestes,,fuliginosus,centralis
PAUCITUBERCULATA,,,,Caenolestidae,,,Caenolestes,,fuliginosus,obscurus
