Google search term,Result,Matrix
Chiroptera,15,NA
Chiroptera,16,GS2010-BS
Chiroptera,17,NA
Chiroptera,18,NA
Chiroptera,19,NA
Chiroptera,20,NA
Perissodactyla,1,GS2013-FC
Perissodactyla,2,NA
Perissodactyla,3,GS2013-HF
Perissodactyla,4,NA
Perissodactyla,5,GS2013-BC
Perissodactyla,6,NA
Perissodactyla,7,GS2014-RR
Perissodactyla,8,GS2014-CS
Perissodactyla,9,NA
Perissodactyla,10,NA
Perissodactyla,11,GS2008-BK
Perissodactyla,12,NA
Perissodactyla,13,NA
Perissodactyla,14,MB526
Perissodactyla,15,NA
Perissodactyla,16,MB696
Perissodactyla,17,NA
Perissodactyla,18,GL2013-DR
Perissodactyla,19,GS2013-BA
Perissodactyla,20,GS2014-BW
Pholidota,1,MB773
Pholidota,2,MB1045
Pholidota,3,NA
Pholidota,4,MB367
Pholidota,5,GS2012-SF
Pholidota,6,NA
Pholidota,7,NA
Pholidota,8,NA
Pholidota,9,GS2012-BG
Pholidota,10,GS2013-B
Pholidota,11,NA
Pholidota,12,NA
Pholidota,13,NA
Pholidota,14,NA
Pholidota,15,GS2013-H
Pholidota,16,GS2012-KA
Pholidota,17,NA
Pholidota,18,MB567
Pholidota,19,NA
Pholidota,20,NA
Carnivora,1,GS2012-SR
Carnivora,2,GS2014-CB
Carnivora,3,NA
Carnivora,4,NA
Carnivora,5,GS2014-WCC
Carnivora,6,NA
Carnivora,7,MB367
Carnivora,8,GS2013-C
Carnivora,9,GS2014-SG
Carnivora,10,NA
Carnivora,11,NA
Carnivora,12,GS2011-T
Carnivora,13,NA
Carnivora,14,MB773
Carnivora,15,GS2010-PR
Carnivora,16,GS2013-WH
Carnivora,17,NA
Carnivora,18,NA
Carnivora,19,NA
Carnivora,20,GS2012-A
Didelphimorphia,1,MB929
Didelphimorphia,2,GS2012-MRG
Didelphimorphia,3,GS2012-MRG
Didelphimorphia,4,GS2013-OBP
Didelphimorphia,5,NA
Didelphimorphia,6,NA
Didelphimorphia,7,NA
Didelphimorphia,8,NA
Didelphimorphia,9,MB739
Didelphimorphia,10,GS2011-GeS
Didelphimorphia,11,NA
Didelphimorphia,12,GS2013-OjBP
Didelphimorphia,13,NA
Didelphimorphia,14,GS2013-A
Didelphimorphia,15,NA
Didelphimorphia,16,NA
Didelphimorphia,17,NA
Didelphimorphia,18,NA
Didelphimorphia,19,NA
Didelphimorphia,20,NA
Paucituberculata,1,MB739
Paucituberculata,2,GS2013-OBP
Paucituberculata,3,GS2013-A
Paucituberculata,4,MB929
Paucituberculata,5,NA
Paucituberculata,6,NA
Paucituberculata,7,GS2011-ON
Paucituberculata,8,GS2013-OjBP
Paucituberculata,9,NA
Paucituberculata,10,NA
Paucituberculata,11,NA
Paucituberculata,12,NA
Paucituberculata,13,NA
Paucituberculata,14,NA
Paucituberculata,15,NA
Paucituberculata,16,NA
Paucituberculata,17,NA
Paucituberculata,18,NA
Paucituberculata,19,GS2011-OG
Paucituberculata,20,NA
Microbiotheria,1,MB929
Microbiotheria,2,MB739
Microbiotheria,3,NA
Microbiotheria,4,GS2013-A
Microbiotheria,5,GS2011-BK
Microbiotheria,6,NA
Microbiotheria,7,NA
Microbiotheria,8,GS2013-OBP
Microbiotheria,9,NA
Microbiotheria,10,GS2011-OG
Microbiotheria,11,NA
Microbiotheria,12,NA
Microbiotheria,13,GS2011-GeS
Microbiotheria,14,NA
Microbiotheria,15,NA
Microbiotheria,16,NA
Microbiotheria,17,GS2014-RG
Microbiotheria,18,NA
Microbiotheria,19,NA
Microbiotheria,20,NA
Dasyuromorphia,1,NA
Dasyuromorphia,2,NA
Dasyuromorphia,3,GS2011-ON
Dasyuromorphia,4,NA
Dasyuromorphia,5,MB696
Dasyuromorphia,6,MB739
Dasyuromorphia,7,NA
Dasyuromorphia,8,GS2013-TB
Dasyuromorphia,9,GS2013-TG
Dasyuromorphia,10,NA
Dasyuromorphia,11,MB539
Dasyuromorphia,12,MB683
Dasyuromorphia,13,NA
Dasyuromorphia,14,NA
Dasyuromorphia,15,NA
Dasyuromorphia,16,NA
Dasyuromorphia,17,NA
Dasyuromorphia,18,GS2011-OG
Dasyuromorphia,19,NA
Dasyuromorphia,20,NA
Peramelemorphia,1,MB758
Peramelemorphia,2,GS2013-TB
Peramelemorphia,3,MB739
Peramelemorphia,4,GS2013-TG
Peramelemorphia,5,NA
Peramelemorphia,6,NA
Peramelemorphia,7,GS2014-TA
Peramelemorphia,8,MB696
Peramelemorphia,9,MB539
Peramelemorphia,10,GS2014-WCC
Peramelemorphia,11,NA
Peramelemorphia,12,GS2013-A
Peramelemorphia,13,NA
Peramelemorphia,14,NA
Peramelemorphia,15,NA
Peramelemorphia,16,MB683
Peramelemorphia,17,NA
Peramelemorphia,18,GS2010-GV
Peramelemorphia,19,NA
Peramelemorphia,20,NA
Notoryctemorphia,1,GS2014-OT
Notoryctemorphia,2,MB739
Notoryctemorphia,3,NA
Notoryctemorphia,4,NA
Notoryctemorphia,5,NA
Notoryctemorphia,6,GS2012-RW
Notoryctemorphia,7,MB539
Notoryctemorphia,8,NA
Notoryctemorphia,9,NA
Notoryctemorphia,10,NA
Notoryctemorphia,11,NA
Notoryctemorphia,12,NA
Notoryctemorphia,13,NA
Notoryctemorphia,14,NA
Notoryctemorphia,15,NA
Notoryctemorphia,16,NA
Notoryctemorphia,17,NA
Notoryctemorphia,18,NA
Notoryctemorphia,19,NA
Notoryctemorphia,20,NA
Diprotodontia,1,NA
Diprotodontia,2,MB739
Diprotodontia,3,MB696
Diprotodontia,4,NA
Diprotodontia,5,GS2012-PT
Diprotodontia,6,GS2013-A
Diprotodontia,7,GS2014-BT
Diprotodontia,8,NA
Diprotodontia,9,NA
Diprotodontia,10,MB683
Diprotodontia,11,MB539
Diprotodontia,12,NA
Diprotodontia,13,MB938
Diprotodontia,14,NA
Diprotodontia,15,NA
Diprotodontia,16,NA
Diprotodontia,17,NA
Diprotodontia,18,NA
Diprotodontia,19,NA
Diprotodontia,20,NA
